id,price,license,model,fuel,cc,registration_date,license_changed,owner_changed,total_loss,flood,theft,damaged_count,damaged_total,damaged_by_other_count,damaged_by_other_total,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38292493,4990,233고2342,G80 (RG3),가솔린,3470cc,2020/06/29,1,1,0,0,0,0,0,0,0,오토,자가보증,"39,490km",없음,없음,있음 / 렌트,없음,없음
38292355,6700,261오7834,GV80,디젤,2996cc,2022/06/28,1,1,0,0,0,1,632710,2,791130,오토,자가보증,"60,277km",없음,없음,있음 / 렌트,없음,없음
38601217,2390,140마2607,G4 렉스턴,디젤,2157cc,2020/07/22,0,1,0,0,0,1,915948,0,0,오토,자가보증,"66,261km",없음,없음,없음,없음,있음
38455109,3250,90어7420,스타리아,디젤,2199cc,2021/06/28,0,1,0,0,0,0,0,0,0,오토,자가보증,"27,037km",없음,없음,없음,없음,없음
38306380,2190,45고4951,싼타페 TM,가솔린,1998cc,2019/02/01,0,1,0,0,0,0,0,0,0,오토,자가보증,"95,614km",없음,없음,없음,없음,없음
38349272,3333,108소1611,카니발 4세대,가솔린,3470cc,2022/09/14,0,1,0,0,0,0,0,1,735300,-,자가보증,"50,534km",없음,없음,없음,없음,없음
38596026,1760,214누5158,스포티지 더 볼드,디젤,1598cc,2021/05/11,1,1,0,0,0,0,0,0,0,오토,자가보증,"57,744km",없음,없음,없음,없음,있음
38566926,2630,190허1853,스포티지 5세대,디젤,1998cc,2021/08/17,0,0,0,0,0,0,0,0,0,오토,자가보증,"76,352km",없음,없음,없음,없음,없음
38515986,2630,819보8489,스타리아,디젤,2199cc,2023/09/18,0,1,0,0,0,0,0,0,0,-,자가보증,"18,116km",없음,없음,없음,없음,없음
38541162,2030,228거4053,K5 3세대,가솔린,1999cc,2020/09/14,1,3,0,0,0,0,0,0,0,-,자가보증,"69,518km",없음,없음,없음,없음,없음
38218211,2190,14도0626,더 뉴 모하비,디젤,2959cc,2016/07/05,0,2,0,0,0,0,0,0,0,오토,자가보증,"61,118km",없음,없음,없음,없음,없음
38527240,3750,150하9393,모하비 더 마스터,디젤,2959cc,2020/04/10,0,0,0,0,0,2,1309074,0,0,오토,자가보증,"76,400km",없음,없음,있음 / 렌트,없음,없음
38312361,2830,258너1071,더 뉴 셀토스,가솔린,1598cc,2022/11/04,0,0,0,0,0,1,2058785,0,0,오토,자가보증,"17,490km",없음,없음,없음,없음,없음
38341429,2500,156두9535,K7 프리미어,가솔린,2497cc,2020/02/18,0,0,0,0,0,2,1727700,1,2397060,오토,보험사보증,"59,636km",없음,없음,없음,없음,없음
37016698,4490,147하1375,G80 (RG3),가솔린,3470cc,2020/06/26,0,0,0,0,0,1,648994,0,0,오토,보험사보증,"43,400km",없음,없음,없음,없음,없음
38216970,3660,706버7477,마스터,디젤,2299cc,2021/12/30,1,1,0,0,0,0,0,0,0,수동,보험사보증,"28,613km",없음,없음,있음 / 렌트,없음,없음
