Car ID,차량번호,최초등록일,변속기종류,사용연료,주행거리(km),주행거리 계기상태,차대번호표기,튜닝,특별이력,용도변경,배출가스,리콜대상,차명,연식
38565699,25주6852,2018/11/27,오토,가솔린,"77,307km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,티볼리 에어,2019년식
38528990,182허1489,2021/03/04,-,가솔린,"75,006km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: -% / 탄화수소: -ppm,해당없음,G90,2021년식
38627958,160마1033,2023/03/23,오토,가솔린+전기,"17,250km",양호,양호,없음,없음,없음,일산화탄소: 1% / 탄화수소: 1ppm,해당없음,스포티지 5세대 하이브리드,2023년식
38354071,68다1832,2013/06/28,오토,가솔린,"95,866km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 26ppm,해당 / 이행,스파크,2014년식
38307223,391버9399,2023/10/12,-,가솔린,"10,880km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,더 뉴 셀토스,2024년식
37568168,282조2674,2020/03/25,오토,디젤,"104,242km",양호,양호,없음,없음,있음 / 렌트,매연: 1%,해당없음,이쿼녹스,2020년식
38546876,130두8045,2024/06/05,오토,가솔린,"3,957km",양호,양호,없음,없음,없음,일산화탄소: 0.2% / 탄화수소: 2ppm,해당없음,더 뉴 토레스,2025년식
38474475,738우1463,2017/07/20,-,디젤,"158,637km",양호,양호,없음,없음,있음 / 렌트,매연: 5%,해당 / 미이행,그랜드 스타렉스,2018년식
38199901,155머6556,2022/09/20,오토,가솔린,"33,325km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 3ppm,해당없음,GV70,2023년식
38391481,259모7315,2019/07/02,-,가솔린,"46,757km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.18% / 탄화수소: 20ppm,해당없음,G70,2019년식
38620521,274라7740,2021/03/22,-,가솔린,"22,851km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,투싼 (NX4),2021년식
37271485,93도0378,2020/06/29,오토,디젤,"73,628km",양호,양호,없음,없음,없음,매연: 0%,해당없음,렉스턴 스포츠,2021년식
38505036,130러9431,2021/10/18,오토,가솔린,"31,488km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 1ppm,해당없음,더 뉴 G70,2021년식
38222779,57저2580,2010/09/08,-,가솔린,"82,845km",양호,양호,없음,없음,없음,일산화탄소: 0.2% / 탄화수소: 12ppm,해당없음,K5,2011년식
38418325,249라8793,2024/03/26,-,가솔린,"15,658km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,더 뉴 카니발 4세대,2024년식
