ID,N,NC,OC,TL,FD,TF,CM,CO
38094275,78다9610,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회5,062,190원","3회/4,873,100원"
38549191,219루6046,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회673,255원","1회/492,604원"
38503599,72더2370,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38443038,279도7921,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회467,294원","2회/1,967,617원"
38597761,184모8896,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38258200,36구8091,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회560,903원",없음
38433157,49노1964,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,648,510원","2회/1,608,151원"
38470449,51도2287,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회3,374,659원","7회/7,694,851원"
38250187,181수2557,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/7,156,700원"
38572891,236루7601,1회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"1회/648,735원"
38332757,54서2800,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"6회7,487,340원","1회/3,160,000원"
38121650,384로5134,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,951,760원","1회/782,790원"
38529279,243두5411,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회534,501원",없음
38226158,92러0752,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회700,000원",없음
38556516,72라5517,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37949546,90너6450,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회759,310원","2회/1,193,160원"
38338682,56고0821,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회665,317원",없음
37101186,30우7847,0회,4회,전손 0회,"침수(전손,분손) 0회",도난 0회,"4회2,009,550원",없음
37816550,27우5998,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,223,970원","2회/876,810원"
38136456,344구2930,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회571,807원",없음
38044612,394우3606,1회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
37777945,61모8503,0회,5회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,486,533원","1회/1,038,118원"
38429396,207너6221,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38391004,179보7014,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38624738,230조9187,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회13,715,969원","1회/612,409원"
38348981,02모8277,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,"3회/5,764,075원"
