id,price,car_number,registration_date,transmission,fuel_type,mileage,mileage_condition,chassis_number,tuning,special_history,usage_change,emission_gas,recall,car_name,year
38624444,3990,43구5672,2019/06/04,오토,가솔린,"59,734km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,더 뉴 카니발,2019년식
38533166,350,35두1039,2015/02/10,오토,가솔린,"175,178km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 30ppm,해당없음,더 뉴 모닝,2016년식
38596546,899,355더8824,2019/10/15,오토,가솔린,"54,354km",양호,양호,없음,없음,없음,일산화탄소: 0.5% / 탄화수소: 50ppm,해당없음,더 뉴 스파크,2019년식
38615382,2550,122버7884,2020/08/14,오토,LPG(일반인 구입),"72,273km",양호,양호,없음,없음,없음,일산화탄소: 0.5% / 탄화수소: 50ppm,해당없음,더 뉴 그랜저 IG,2020년식
38600135,3290,331저1998,2021/01/14,오토,디젤,"84,898km",양호,양호,없음,없음,없음,매연: 10%,해당없음,카니발 4세대,2021년식
37986332,800,59소4399,2018/03/07,-,디젤,"79,326km",양호,양호,없음,없음,없음,매연: 3%,해당없음,뉴QM3,2018년식
38449284,1490,62더7220,2017/09/25,-,가솔린,"94,169km",양호,양호,없음,없음,없음,일산화탄소: 0.12% / 탄화수소: 10ppm,해당없음,i30 (PD),2018년식
38219479,440,69오9611,2014/06/03,오토,디젤,"137,965km",양호,양호,없음,없음,없음,매연: -%,해당없음,뉴코란도 C,2014년식
38631878,2799,712오6132,2022/07/22,-,디젤,"52,226km",양호,양호,없음,없음,있음 / 렌트,매연: 3%,해당없음,스타리아,2022년식
38179645,1450,17더4328,2017/05/04,-,가솔린,"113,654km",양호,양호,없음,없음,없음,일산화탄소: 0.13% / 탄화수소: 20ppm,해당없음,그랜저 IG,2018년식
38336720,1199,28로0902,2016/03/21,-,가솔린,"31,254km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 4ppm,해당,SM6,2016년식
38458044,4299,149보2040,2020/07/14,-,가솔린,"45,087km",양호,양호,없음,없음,없음,일산화탄소: 0.3% / 탄화수소: 5ppm,해당 / 이행,G80 (RG3),2021년식
38336711,4499,370다2414,2021/09/09,-,가솔린,"37,770km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.3% / 탄화수소: 5ppm,해당,GV70,2021년식
38468236,4320,111고8887,2022/09/23,오토,가솔린+전기,"20,449km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 1ppm,해당없음,쏘렌토 4세대,2023년식
37703569,3820,254머4838,2022/06/09,오토,가솔린+전기,"51,867km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 3ppm,해당없음,더 뉴 그랜저 IG 하이브리드,2023년식
38488779,5799,363노9903,2022/11/25,-,가솔린,"50,538km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.3% / 탄화수소: 8ppm,해당없음,GV80,2022년식
37701896,2090,197고6540,2022/10/31,오토,가솔린,"18,643km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 1ppm,해당없음,베뉴,2023년식
38558071,3170,166보4608,2020/12/17,-,가솔린,"22,950km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 3ppm,해당없음,K7 프리미어,2021년식
37723304,550,02거7434,2013/01/28,오토,LPG(일반인 구입),"153,680km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.05% / 탄화수소: 6ppm,해당없음,쏘나타 더 브릴리언트,2013년식
38320503,4490,131소8397,2022/09/26,오토,가솔린+전기,"29,283km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 2ppm,해당없음,쏘렌토 4세대,2023년식
38540602,1920,239다5839,2019/10/22,오토,가솔린+전기,"79,416km",양호,양호,없음,없음,없음,일산화탄소: 0.06% / 탄화수소: 6ppm,해당 / 이행,코나 하이브리드,2020년식
38489053,2250,284무1317,2020/11/20,-,가솔린+전기,"19,966km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,K5 하이브리드 3세대,2021년식
38002675,1080,35노0679,2016/01/26,-,가솔린,"30,466km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,더 뉴 K3,2016년식
38489043,2150,284무1335,2020/09/28,-,가솔린+전기,"31,455km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.00% / 탄화수소: 0ppm,해당 / 이행,아반떼 하이브리드 (CN7),2021년식
38489020,690,31노8247,2013/07/08,-,가솔린,"118,629km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,아반떼 MD,2014년식
38576858,1550,330모5522,2020/01/16,-,가솔린,"57,767km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,올 뉴 K3,2020년식
38576847,1700,80너0311,2020/03/30,-,디젤,"56,047km",양호,양호,있음 / 적법,없음,없음,매연: 0%,해당없음,렉스턴 스포츠,2020년식
37945991,650,27고2779,2014/02/24,-,디젤,"73,889km",양호,양호,없음,없음,없음,매연: 0%,해당 / 이행,더 뉴 아반떼,2014년식
38489003,2150,363가3265,2020/09/08,-,가솔린+전기,"49,269km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,K5 하이브리드 3세대,2020년식
38488975,1350,271러2739,2021/12/24,-,가솔린,"38,009km",양호,양호,없음,없음,없음,일산화탄소: 0.00% / 탄화수소: 0ppm,해당없음,캐스퍼,2022년식
38454727,449,234무4685,2011/11/09,오토,가솔린,"81,479km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당 / 이행,알페온,2012년식
38197745,1399,38무1449,2013/06/12,오토,가솔린,"77,402km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당 / 이행,K9,2014년식
37825461,949,07오6337,2017/11/17,오토,디젤,"71,014km",양호,양호,없음,없음,없음,매연: 0%,해당 / 이행,더 뉴 트랙스,2018년식
38398555,2480,325고1475,2020/01/02,오토,가솔린,"89,455km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 1ppm,해당없음,더 뉴 카니발,2020년식
38153148,2649,21부3977,2018/10/02,오토,가솔린,"90,101km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 2.1ppm,해당없음,더 K9,2019년식
37793979,2330,804마7878,2023/07/21,오토,LPG(일반인 구입),"20,283km",양호,양호,없음,없음,없음,일산화탄소: 0.12% / 탄화수소: 2ppm,해당없음,더 뉴 QM6,2024년식
38578693,1250,36조0707,2016/04/18,오토,가솔린+전기,"126,803km",양호,양호,없음,없음,없음,일산화탄소: 0.01% / 탄화수소: 0.01ppm,해당 / 이행,LF 쏘나타 하이브리드,2016년식
38619475,990,36소4355,2017/05/16,-,가솔린,"128,127km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,LF 쏘나타,2017년식
38522785,780,66서1533,2013/07/01,-,가솔린,"58,228km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 2ppm,해당 / 이행,트랙스,2013년식
37744034,350,55부2437,2013/04/16,-,LPG(일반인 구입),"193,675km",양호,양호,없음,없음,없음,일산화탄소: 0.03% / 탄화수소: 4ppm,해당없음,K5,2013년식
38304938,2190,228거4094,2021/09/23,-,가솔린,"56,588km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.10% / 탄화수소: 1ppm,해당없음,K5 3세대,2022년식
37570032,870,82저2044,2016/01/21,-,디젤,"116,566km",양호,양호,있음 / 적법,없음,없음,매연: 6%,해당없음,코란도 스포츠,2016년식
38451809,4480,126누5291,2022/10/21,오토,가솔린,"31,323km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당없음,G80 (RG3),2022년식
38502269,1190,204우9465,2019/10/25,-,LPG(일반인 구입),"60,425km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.01% / 탄화수소: 1ppm,해당없음,SM6,2020년식
38495403,1990,181주2669,2019/04/10,오토,가솔린,"72,906km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 5ppm,해당 / 이행,쏘나타 (DN8),2020년식
38096799,3550,126주5903,2023/01/17,오토,디젤,"49,841km",양호,양호,없음,없음,없음,매연: -%,해당없음,스타리아,2023년식
38421872,1550,30다1106,2017/11/07,-,가솔린,"77,295km",양호,양호,없음,없음,없음,일산화탄소: 0.15% / 탄화수소: 9ppm,해당없음,쏘나타 뉴 라이즈,2018년식
38535127,3700,130저8623,2022/05/10,-,가솔린,"17,368km",양호,양호,없음,없음,없음,일산화탄소: 0.2% / 탄화수소: 3ppm,해당 / 이행,쏘렌토 4세대,2022년식
38491257,3450,164누6873,2022/12/02,-,디젤,"16,620km",양호,양호,없음,없음,없음,매연: 0%,해당없음,카니발 4세대,2023년식
38515588,630,71구7774,2016/06/10,수동,LPG(일반인 구입),"20,533km",양호,양호,없음,없음,없음,일산화탄소: 0% / 탄화수소: 0ppm,해당없음,뉴 다마스,2016년식
38274708,1430,233고2359,2019/07/05,오토,LPG(일반인 구입),"100,971km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: -% / 탄화수소: -ppm,해당 / 이행,쏘나타 (DN8),2020년식
38354194,640,69도8246,2011/06/13,-,가솔린,"150,340km",양호,양호,없음,없음,없음,일산화탄소: -% / 탄화수소: -ppm,해당 / 이행,제네시스,2012년식
38481154,2700,172머9741,2022/01/18,-,가솔린,"12,682km",양호,양호,없음,없음,없음,일산화탄소: 0.02% / 탄화수소: 1ppm,해당,셀토스,2023년식
38635298,1870,289소3203,2020/08/27,오토,가솔린,"95,020km",양호,양호,없음,없음,없음,일산화탄소: 0.16% / 탄화수소: 20ppm,해당 / 이행,아반떼 (CN7),2021년식
37555603,3980,221소5834,2020/05/07,-,가솔린,"87,299km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.10% / 탄화수소: 12ppm,해당없음,G80 (RG3),2021년식
38358173,1220,28가0703,2015/09/14,오토,가솔린,"67,140km",양호,양호,없음,없음,없음,일산화탄소: 0.1% / 탄화수소: 30ppm,해당없음,임팔라,2016년식
37899288,3380,231도4091,2021/05/07,-,가솔린+전기,"71,153km",양호,양호,없음,없음,있음 / 렌트,일산화탄소: 0.10% / 탄화수소: 10ppm,해당 / 미이행,K8 하이브리드,2022년식
