id,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38485770,-,보험사보증,"75,054km",없음,없음,없음,있음,있음
38315172,-,자가보증,"96,950km",없음,없음,있음 / 렌트,없음,없음
37840823,-,보험사보증,"105,536km",없음,없음,있음 / 렌트,없음,있음
38585515,-,보험사보증,"54,802km",없음,없음,없음,없음,있음
38577943,오토,보험사보증,"98,438km",없음,없음,없음,없음,없음
38068010,-,보험사보증,"61,097km",없음,없음,없음,없음,없음
38349934,-,보험사보증,"14,359km",없음,없음,없음,없음,없음
38489384,-,자가보증,"48,981km",없음,없음,없음,없음,없음
38589881,오토,보험사보증,"105,887km",없음,없음,있음 / 렌트,없음,있음
38070253,-,자가보증,"432,776km",없음,없음,없음,없음,없음
38211371,-,자가보증,"26,402km",없음,없음,없음,없음,없음
38227201,-,보험사보증,"11,354km",없음,없음,없음,없음,없음
38534639,오토,보험사보증,"30,495km",없음,없음,없음,없음,없음
38620298,오토,보험사보증,"185,103km",없음,없음,없음,없음,없음
38524735,-,자가보증,"23,000km",없음,없음,없음,없음,없음
38337789,오토,자가보증,"55,166km",없음,없음,없음,없음,없음
38620490,오토,보험사보증,"73,014km",없음,없음,있음 / 렌트,있음,있음
37990218,-,보험사보증,"86,647km",없음,없음,없음,있음,있음
38546746,오토,자가보증,"75,796km",없음,없음,없음,없음,없음
38582022,-,자가보증,"36,824km",없음,없음,있음 / 렌트,없음,없음
37627753,-,보험사보증,"121,832km",없음,없음,있음 / 렌트,있음,있음
38229034,오토,보험사보증,"118,740km",없음,없음,없음,없음,없음
38433829,-,보험사보증,"135,184km",없음,없음,없음,없음,있음
38350225,오토,자가보증,"103,163km",없음,없음,있음 / 렌트,없음,없음
38369132,오토,보험사보증,"188,186km",없음,없음,없음,없음,있음
38533008,오토,보험사보증,"52,598km",없음,없음,없음,없음,있음
38106218,-,보험사보증,"68,769km",없음,없음,있음 / 렌트,없음,있음
38434614,-,보험사보증,"22,453km",없음,없음,없음,없음,없음
38303001,오토,보험사보증,"18,509km",없음,없음,없음,없음,없음
38186180,-,자가보증,"63,132km",없음,없음,없음,없음,없음
38481080,오토,자가보증,"6,837km",없음,없음,없음,없음,없음
38106912,-,보험사보증,"171,400km",없음,없음,있음 / 렌트,없음,있음
38421689,오토,보험사보증,"159,904km",없음,없음,없음,없음,없음
37309712,-,보험사보증,"47,795km",없음,없음,있음 / 렌트,있음,있음
38483912,-,자가보증,"55,595km",없음,없음,없음,없음,있음
38464758,오토,보험사보증,"99,331km",없음,없음,없음,없음,있음
38169806,-,보험사보증,"95,023km",없음,없음,없음,없음,있음
38573191,-,자가보증,"46,000km",없음,없음,없음,없음,없음
38635397,-,보험사보증,"250,907km",없음,없음,있음 / 렌트,없음,없음
38339803,오토,보험사보증,"47,293km",없음,없음,없음,없음,없음
37660063,-,자가보증,"102,516km",없음,없음,없음,없음,있음
38526374,-,보험사보증,"88,345km",없음,없음,있음 / 렌트,없음,있음
37879768,-,보험사보증,"148,126km",없음,없음,없음,없음,있음
38616256,오토,자가보증,"55,805km",없음,없음,없음,있음,있음
37738304,오토,보험사보증,"32,138km",없음,없음,없음,있음,없음
38325557,-,보험사보증,"32,342km",없음,없음,없음,있음,있음
36953226,-,보험사보증,"79,950km",없음,없음,없음,있음,있음
38427666,오토,자가보증,"147,121km",없음,없음,없음,있음,있음
38217566,오토,보험사보증,"54,426km",없음,없음,없음,없음,없음
38223000,-,보험사보증,"58,002km",없음,없음,없음,있음,있음
38540319,오토,보험사보증,"22,907km",없음,없음,없음,없음,없음
38406131,-,자가보증,"119,056km",없음,없음,없음,있음,있음
38386844,오토,보험사보증,"23,293km",없음,없음,없음,없음,없음
38614412,-,보험사보증,"55,213km",없음,없음,없음,없음,없음
37631005,오토,보험사보증,"131,603km",없음,없음,없음,없음,있음
38469072,오토,보험사보증,"72,250km",없음,없음,없음,없음,있음
38309742,-,보험사보증,"55,449km",없음,없음,없음,없음,없음
38211338,-,자가보증,"19,596km",없음,없음,없음,없음,없음
38254474,-,자가보증,"73,164km",없음,없음,있음 / 렌트,없음,있음
38462923,-,보험사보증,"163,313km",없음,없음,있음 / 렌트,없음,있음
38440283,오토,자가보증,"97,065km",없음,없음,없음,없음,없음
38499534,-,보험사보증,"32,635km",없음,없음,없음,없음,없음
37942615,오토,자가보증,"21,688km",없음,없음,없음,없음,있음
38434133,오토,보험사보증,"15,449km",없음,없음,없음,없음,없음
38610297,-,보험사보증,"58,505km",없음,없음,있음 / 렌트,없음,없음
38408571,오토,자가보증,"51,628km",없음,없음,없음,없음,있음
38606107,오토,자가보증,"29,100km",없음,없음,없음,없음,없음
38526390,오토,보험사보증,"91,016km",없음,없음,없음,없음,있음
38549907,오토,보험사보증,"124,947km",없음,없음,없음,없음,있음
38346729,오토,자가보증,"216,104km",없음,없음,없음,없음,없음
38539207,-,보험사보증,"24,332km",없음,없음,있음 / 렌트,없음,없음
38186950,-,자가보증,"76,262km",없음,없음,없음,없음,없음
38229111,-,자가보증,"46,128km",없음,없음,없음,없음,없음
38499720,-,보험사보증,"7,179km",없음,없음,없음,없음,없음
38512056,오토,보험사보증,"142,089km",없음,없음,없음,없음,있음
38214963,-,보험사보증,"99,557km",없음,없음,없음,없음,있음
38477710,-,자가보증,"115,460km",없음,없음,있음 / 렌트,없음,없음
37083058,-,자가보증,"103,879km",없음,없음,없음,없음,있음
38233368,오토,보험사보증,"69,626km",없음,없음,없음,있음,없음
38158248,오토,보험사보증,"84,670km",없음,없음,없음,없음,있음
37285356,오토,보험사보증,"158,231km",있음 / 불법 / 장치,없음,없음,없음,있음
38586139,오토,보험사보증,"102,345km",없음,없음,없음,없음,없음
38425754,오토,보험사보증,"136,335km",없음,없음,없음,없음,있음
38426453,-,보험사보증,"90,844km",없음,없음,없음,있음,있음
37866639,-,자가보증,"120,238km",없음,없음,없음,있음,없음
38426510,오토,보험사보증,"170,747km",없음,없음,없음,없음,있음
38524819,오토,자가보증,"246,105km",없음,없음,없음,없음,있음
38563728,-,보험사보증,"4,302km",없음,없음,없음,없음,없음
37956610,오토,자가보증,"45,868km",없음,없음,없음,없음,없음
38589719,오토,보험사보증,"134,138km",없음,없음,없음,없음,없음
