id,n,model,fuel,cc,date,nc,oc,tl,fd,tf,cm_num,cm_price,co_num,co_price,price,transmission,warranty,mileage,tuning_history,special_history,usage_change,accident,little_accident
38599101,305두2986,더 뉴 K7,가스,2999cc,2014/02/12,1,3,0,0,0,2,1889368,1,558843,599,-,자가보증,"201,729km",없음,없음,있음 / 렌트,없음,있음
36179684,41도1634,K3,가솔린,1591cc,2015/11/04,1,4,0,0,0,1,628418,0,0,680,-,보험사보증,"84,632km",없음,없음,있음 / 렌트,없음,있음
37723064,115다8249,그랜저 (GN7),가솔린,2497cc,2023/01/03,0,1,0,0,0,0,0,0,0,4150,오토,자가보증,"8,373km",없음,없음,없음,없음,없음
38562559,48라1413,i30 (PD),가솔린,1353cc,2017/03/14,0,1,0,0,0,1,984760,1,5763800,1420,-,자가보증,"83,117km",없음,없음,없음,없음,있음
38082957,281부7506,스포티지 4세대,디젤,1995cc,2016/09/23,1,4,0,0,0,3,1875163,0,0,1150,오토,보험사보증,"148,246km",없음,없음,없음,없음,없음
38518834,266소2473,베뉴,가솔린,1598cc,2020/04/29,1,1,0,0,0,0,0,0,0,1270,오토,보험사보증,"92,440km",없음,없음,있음 / 렌트,없음,있음
38532620,125노2093,더 뉴 싼타페,디젤,2151cc,2020/09/10,1,2,0,0,0,1,2747599,0,0,2299,오토,보험사보증,"168,735km",없음,없음,있음 / 렌트,없음,있음
38162720,299거3939,G90,가솔린,3778cc,2020/11/02,1,2,0,0,0,0,0,0,0,3590,오토,자가보증,"134,774km",없음,없음,있음 / 렌트,없음,없음
38059733,142저1357,K7 프리미어,가솔린,2497cc,2020/12/08,0,1,0,0,0,0,0,0,0,2670,-,보험사보증,"48,082km",없음,없음,없음,없음,없음
38573236,346더3130,더 뉴 그랜저 IG,가솔린,2497cc,2021/05/26,0,1,0,0,0,2,1973817,1,1375084,2720,오토,보험사보증,"28,115km",없음,없음,없음,없음,없음
38389351,61모5064,니로,하이브리드,1580cc,2016/05/03,0,1,0,0,0,0,0,0,0,940,오토,자가보증,"180,535km",없음,없음,없음,없음,없음
38331278,119도9770,아반떼 (CN7),가솔린,1598cc,2020/11/27,0,1,0,0,0,3,2884929,0,0,1740,-,보험사보증,"86,047km",없음,없음,없음,없음,없음
38474947,285무4676,G90 (RS4),가솔린,3470cc,2022/07/14,1,1,0,0,0,1,356060,0,0,7150,-,보험사보증,"52,499km",없음,없음,없음,없음,없음
38097364,220호1891,더 뉴 팰리세이드,가솔린,3778cc,2023/03/17,0,0,0,0,0,0,0,0,0,3750,오토,보험사보증,"26,793km",없음,없음,있음 / 렌트,없음,없음
37502499,114로6923,올 뉴 말리부,가솔린,1490cc,2016/11/25,1,4,0,0,0,0,0,0,0,980,오토,보험사보증,"105,717km",없음,없음,있음 / 렌트,없음,있음
38490481,360구3737,팰리세이드,가솔린,3778cc,2020/12/21,0,1,0,0,0,1,2524254,0,0,3130,-,보험사보증,"74,443km",없음,없음,없음,없음,없음
38397972,37다5511,포르테 쿱,가솔린,1591cc,2011/06/29,0,6,0,0,0,5,3608392,0,0,325,-,보험사보증,"141,559km",있음 / 적법,없음,없음,있음,있음
38012457,03무5320,올 뉴 K3,가솔린,1598cc,2018/03/26,0,1,0,0,0,2,4847848,0,0,1150,오토,보험사보증,"62,427km",없음,없음,없음,있음,있음
38337035,45보2317,올 뉴 카니발,가솔린,3342cc,2017/10/11,0,0,0,0,0,1,1205480,3,5113260,1890,오토,보험사보증,"83,889km",없음,없음,없음,없음,있음
38464137,173마4248,GV70,가솔린,2497cc,2021/11/19,0,0,0,0,0,1,895260,0,0,5090,오토,보험사보증,"24,215km",없음,없음,없음,없음,없음
38332639,227버8542,GV80,디젤,2996cc,2020/05/26,0,1,0,0,0,3,3254029,0,0,4788,-,자가보증,"63,213km",없음,없음,없음,없음,없음
38480294,263저6896,모닝 어반 (JA),가솔린,998cc,2021/05/18,0,0,0,0,0,0,0,0,0,1040,-,보험사보증,"25,948km",없음,없음,없음,없음,없음
38230490,73고5873,카니발 R,디젤,2199cc,2014/06/11,0,1,0,0,0,0,0,0,0,830,오토,보험사보증,"107,882km",없음,없음,없음,없음,없음
38338240,219무4737,더 뉴 아반떼 AD,가솔린,1598cc,2019/11/28,1,1,0,0,0,4,4952197,0,0,929,-,보험사보증,"146,649km",없음,없음,있음 / 렌트,있음,있음
38605672,196오3826,더 뉴 K9 2세대,가솔린,3342cc,2022/10/18,0,1,0,0,0,1,1364435,1,1830889,5200,-,보험사보증,"10,093km",없음,없음,없음,없음,없음
38368084,312더1595,GV70,가솔린,2497cc,2021/07/15,0,4,0,0,0,1,4290809,1,200000,4360,-,보험사보증,"58,990km",없음,없음,없음,없음,없음
