ID,N,NC,OC,TL,FD,TF,CM,CO
37984635,241소9791,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"8회6,293,461원","4회/3,218,210원"
38560482,47더8035,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회511,337원",1회/미확정
38422490,158라3853,1회,6회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회5,903,700원",없음
38559032,279누5884,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38487181,223누2648,1회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회1,820,419원","2회/1,285,142원"
38474417,123러6248,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회2,789,730원",없음
38537275,316모8799,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,772,300원",없음
38433849,108마2308,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38509837,47마1631,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,"5회5,451,810원","5회/14,308,930원"
38556516,72라5517,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38554144,243무8010,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회529,202원",없음
38558198,211누2637,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38334421,199로2860,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38492298,239노5943,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회1,183,539원",없음
36839087,41두1566,0회,3회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회892,920원","2회/2,173,530원"
38534272,241라2053,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회374,254원","2회/1,544,141원"
38340034,155허7299,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회5,915,154원",없음
38370285,46러0648,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회451,090원",없음
38619809,42주6031,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회543,340원","1회/720,122원"
38401664,216라1352,1회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38442800,28조3754,1회,7회,전손 0회,"침수(전손,분손) 0회",도난 0회,"1회649,084원","1회/3,217,896원"
37389976,11소0120,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"2회3,980,030원","1회/772,730원"
38431819,97로3339,0회,1회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회4,758,630원","3회/2,511,700원"
38424406,20버0111,0회,2회,전손 0회,"침수(전손,분손) 0회",도난 0회,없음,없음
38514028,143도4002,0회,0회,전손 0회,"침수(전손,분손) 0회",도난 0회,"3회2,280,739원","2회/1,050,449원"
